,toxic_mean_test_F1,toxic_AUC,toxic_params,toxic_classifier,toxic_training_time,severe_toxic_mean_test_F1,severe_toxic_AUC,severe_toxic_params,severe_toxic_classifier,severe_toxic_training_time,obscene_mean_test_F1,obscene_AUC,obscene_params,obscene_classifier,obscene_training_time,threat_mean_test_F1,threat_AUC,threat_params,threat_classifier,threat_training_time,insult_mean_test_F1,insult_AUC,insult_params,insult_classifier,insult_training_time,identity_hate_mean_test_F1,identity_hate_AUC,identity_hate_params,identity_hate_classifier,identity_hate_training_time
8,0.78627852622513,0.9629816498201077,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,35.88963665564855,0.515928733143745,0.973555031135948,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,74.17874300479889,0.8206950462366368,0.9814063909667535,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,110.38752675056458,0.5186968045504631,0.9775649680672689,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,136.1284720102946,0.7136436940772077,0.9632648448201561,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,179.2652344107628,0.463526612624357,0.9591668953485962,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,214.4584278265635
10,0.7865082160826475,0.9629821801333959,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,35.88963665564855,0.5152249208270294,0.9734785668446981,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,74.17874300479889,0.8192782989886856,0.9813001060672043,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,110.38752675056458,0.5213230671767256,0.977526797129484,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,136.1284720102946,0.7139148432003517,0.9630930893234106,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,179.2652344107628,0.463526612624357,0.9592583048820972,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,214.4584278265635
6,0.7908201664195108,0.9674447387427655,"{'clf__C': 5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,35.88963665564855,0.518001431011402,0.9811764892436903,"{'clf__C': 5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,74.17874300479889,0.822454569515519,0.9849376238554329,"{'clf__C': 5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,110.38752675056458,0.5379302325581395,0.9810560674395896,"{'clf__C': 5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,136.1284720102946,0.7272664826491728,0.9709292093693584,"{'clf__C': 5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,179.2652344107628,0.45398120002580544,0.9691473871598919,"{'clf__C': 5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,214.4584278265635
4,0.7896549814640597,0.9674641186305291,"{'clf__C': 5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,35.88963665564855,0.5167943254115368,0.9811441996203843,"{'clf__C': 5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,74.17874300479889,0.8199173115955908,0.9848625342714998,"{'clf__C': 5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,110.38752675056458,0.5379302325581395,0.9810542412106701,"{'clf__C': 5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,136.1284720102946,0.7281394015756172,0.9708235242759292,"{'clf__C': 5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,179.2652344107628,0.45326298658174746,0.9691012279804054,"{'clf__C': 5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,214.4584278265635
0,0.7672446942041713,0.9670083213047237,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,35.88963665564855,0.48780041412904057,0.9869119559760733,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,74.17874300479889,0.811550759020129,0.9860116201709218,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,110.38752675056458,0.4638097682369602,0.9837801361651973,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,136.1284720102946,0.7231831701579383,0.9748217633215424,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,179.2652344107628,0.4135951178219024,0.9764830445328094,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,214.4584278265635
2,0.7679095903778781,0.9670854797360304,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,35.88963665564855,0.4872763748750241,0.9868346455342862,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,74.17874300479889,0.8103580769462482,0.9860815236661962,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,110.38752675056458,0.4638097682369602,0.9838251744385454,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,136.1284720102946,0.7191791118444625,0.9743589205093042,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,179.2652344107628,0.4091850682732406,0.9764386857793447,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'l2'}",Logistic Regression,214.4584278265635
9,0.7617340783860133,0.9514009142132176,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,35.88963665564855,0.4389760856628696,0.9603078932990478,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,74.17874300479889,0.7893441382044052,0.9604120784214574,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,110.38752675056458,0.40043608352431886,0.9582893237907942,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,136.1284720102946,0.664402876304096,0.9374011785048871,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,179.2652344107628,0.3931580756013746,0.9485685541086621,"{'clf__C': 50, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,214.4584278265635
3,0.7586087065313546,0.9500477904000746,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,35.88963665564855,0.4413114962059287,0.9558771038334166,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,74.17874300479889,0.7948945590840332,0.9616468475568274,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,110.38752675056458,0.4040148934266581,0.9537114858934693,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,136.1284720102946,0.6559758066919874,0.9347563753976704,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,179.2652344107628,0.3852419210217615,0.9467446352797255,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,214.4584278265635
1,0.7631599548937997,0.9500177055299928,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,35.88963665564855,0.4261890307331628,0.9527093237778759,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,74.17874300479889,0.7934483098481885,0.9621747248944974,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,110.38752675056458,0.3812477718360071,0.9434315322163588,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,136.1284720102946,0.6601618240611165,0.9349962531767204,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,179.2652344107628,0.3829569892473118,0.9446666847949945,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,214.4584278265635
11,0.7609873387540689,0.9499154823633951,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,35.88963665564855,0.43176562118846495,0.9565487051204205,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,74.17874300479889,0.7918554750834497,0.9615915447161967,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,110.38752675056458,0.3938646973941091,0.9502723854796888,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,136.1284720102946,0.669912539017074,0.9385031278432701,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,179.2652344107628,0.37830439269529315,0.9450464365248346,"{'clf__C': 50, 'clf__class_weight': None, 'clf__max_iter': 800, 'clf__penalty': 'none'}",Logistic Regression,214.4584278265635
